Exchange,Name of index,January,February,March,April,May,June,July,August,September,October,November,December
Bermuda Stock Exchange,BSX Index,2 064.51,1 900.08,1 622.90,1 276.39,1 363.67,1 233.65,1 244.25,1 259.39,1 275.70,1 260.94,1 188.89,1 142.49
BM&FBOVESPA S.A.,Ibovespa,65 401.77,66 503.27,70 371.54,67 529.73,63 046.51,60 935.90,60 515.00,65 145.45,69 429.78,70 673.30,67 705.40,69 304.81
Bolsa de Comercio de Buenos Aires,Composite,127 937.15,124 970.09,134 195.35,136 118.24,124 539.47,123 883.53,135 444.78,129 923.55,145 193.03,158 855.16,169 624.83,188 392.43
Bolsa de Comercio de Santiago,IGPA,17 594.65,17 789.25,17 642.67,18 039.09,18 130.71,18 848.07,20 296.63,21 239.70,22 355.94,22 874.62,22 927.69,22 979.22
Bolsa de Valores de Lima,Indice General BVL (IGBVL),14 440.05,14 002.32,15 129.00,15 842.26,14 487.31,13 985.01,14 275.38,15 153.33,17 867.36,19 220.93,20 854.50,23 374.57
Bolsa Mexicana de Valores,IPC CompMx,233.42,242.47,255.48,250.94,245.93,239.35,247.86,244.37,256.92,273.57,282.89,296.07
Nasdaq - US,Composite,2 147.35,2 238.26,2 397.96,2 461.19,2 257.04,2 109.24,2 254.70,2 114.03,2 368.62,2 507.41,2 498.23,2 652.87
NYSE,Composite,6 883.78,7 035.05,7 447.80,7 474.40,6 791.57,6 469.65,6 998.99,6 704.15,7 281.07,7 513.35,7 430.94,7 964.02
TMX Group,S&P/TSX Composite,11 904.31,11 629.63,12 037.73,12 210.70,11 762.99,11 294.42,11 713.43,11 913.86,12 368.65,12 676.24,12 952.88,13 443.22
Australian Securities Exchange,All Ordinary Price,4 596.88,4 651.10,4 893.10,4 833.90,4 453.60,4 324.80,4 507.40,4 438.80,4 636.90,4 733.40,4 676.40,4 846.90
BSE India Limited,S&P BSE 500,6 509.90,6 518.38,6 919.55,7 042.68,6 782.37,7 092.20,7 205.22,7 289.74,7 984.45,8 036.88,7 722.05,7 961.06
Bursa Malaysia,FBM Emas Index,8 484.00,8 560.20,8 957.24,9 105.25,8 645.86,8 863.39,9 212.77,9 482.65,9 811.64,10 171.86,10 073.34,10 374.98
Colombo Stock Exchange,CSE All Share,3 636.41,3 807.86,3 724.59,4 188.90,4 237.16,4 612.46,5 161.18,5 658.01,6 997.22,6 678.05,6 434.85,6 635.87
Hong Kong Exchanges and Clearing,S&P/HKEX LargeCap Index,23 764.50,24 240.75,24 850.35,24 860.57,23 277.99,23 718.78,24 624.43,24 084.86,26 266.05,27 243.82,27 339.35,27 392.78
Indonesia Stock Exchange,JSX Composite Index,2 610.80,2 549.03,2 777.30,2 971.25,2 796.96,2 913.68,3 069.28,3 081.88,3 501.30,3 635.32,3 531.21,3 703.51
Japan Exchange Group - Osaka,300 Common,986.39,985.32,1 088.84,1 081.19,965.67,908.81,925.62,881.22,907.26,884.11,942.95,981.06
Japan Exchange Group - Tokyo,TOPIX,901.12,894.10,978.81,987.04,880.46,841.42,849.50,804.67,829.51,810.91,860.94,898.80
Korea Exchange,KOSPI,1 602.43,1 594.58,1 692.85,1 741.56,1 641.25,1 698.29,1 759.33,1 742.75,1 872.81,1 882.95,1 904.63,2 051.00
National Stock Exchange of India Limited,S&P CNX 500,4 156.05,4 127.55,4 313.25,4 368.10,4 226.60,4 420.70,4 475.15,4 537.25,4 925.15,4 972.95,4 781.40,4 940.15
Philippine Stock Exchange,PSE Index (PSEi),2 953.19,3 043.75,3 161.80,3 290.09,3 272.73,3 372.71,3 426.95,3 566.23,4 100.07,4 268.74,3 953.70,4 201.14
Shanghai Stock Exchange,SSE Composite Index,2 989.29,3 051.94,3 109.11,2 870.61,2 592.15,2 398.37,2 637.50,2 638.80,2 655.66,2 978.84,2 820.18,2 808.08
Shenzhen Stock Exchange,SZSE Composite Index,1 120.45,1 172.33,1 211.25,1 112.68,1 033.50,945.29,1 075.45,1 166.50,1 169.02,1 303.85,1 307.83,1 290.87
Singapore Exchange,Straits Times Index,2 745.35,2 750.86,2 887.46,2 974.61,2 752.60,2 835.51,2 987.70,2 950.33,3 097.63,3 142.62,3 144.70,3 190.04
Taiwan Stock Exchange,TAIEX,7 640.44,7 436.10,7 920.06,8 004.25,7 373.98,7 329.37,7 760.63,7 616.28,8 237.78,8 287.09,8 372.48,8 972.50
The Stock Exchange of Thailand,SET Index,696.55,721.37,787.98,763.51,750.43,797.31,855.83,913.19,975.30,984.46,1 005.12,1 032.76
