Exchange,January,February,March,April,May,June,July,August,September,October,November,December
BATS Global Markets,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Bermuda Stock Exchange,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
BM&FBOVESPA S.A.,1.6734,1.6582,1.6268,1.5729,1.5842,1.5623,1.5553,1.5882,1.8563,1.6939,1.8023,1.8653
Bolsa de Comercio de Buenos Aires,4.0013,4.0260,4.0518,4.0813,4.0840,4.1040,4.1413,4.1988,4.2038,4.2363,4.2830,4.3040
Bolsa de Comercio de Santiago,483.5000,476.3500,479.1500,459.9500,465.1500,468.5500,457.4500,463.8500,523.4750,489.9500,515.5500,519.4500
Bolsa de Valores de Colombia,1 869.0500,1 906.8000,1 871.5000,1 771.2000,1 809.0500,1 772.8000,1 777.3000,1 787.0000,1 929.4000,1 871.1000,1 950.3500,1 938.5000
Bolsa de Valores de Lima,2.7720,2.7740,2.8025,2.8175,2.7690,2.7499,2.7382,2.7265,2.7735,2.7068,2.6995,2.6965
Bolsa Mexicana de Valores,12.1628,12.0995,11.9073,11.5320,11.5742,11.7269,11.7352,12.3515,13.8298,13.1686,13.5708,13.9554
Bourse de Montreal,1.0003,0.9746,0.9728,0.9489,0.9689,0.9651,0.9542,0.9779,1.0421,0.9933,1.0168,1.0183
CBOE Futures Exchange,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Chicago Board Options Exchange,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
CME Group,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ICE Futures Canada,1.0003,0.9746,0.9728,0.9489,0.9689,0.9651,0.9542,0.9779,1.0421,0.9933,1.0168,1.0183
ICE Futures US,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
International Securities Exchange,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Nasdaq - US,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
NASDAQ OMX PHLX,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,NA,NA,NA,NA
NYSE,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
TMX Group,1.0003,0.9746,0.9728,0.9489,0.9689,0.9651,0.9542,0.9779,1.0421,0.9933,1.0168,1.0183
ASX Derivatives Trading,0.9970,0.9820,0.9670,0.9138,0.9385,0.9341,0.9104,0.9338,1.0289,0.9426,0.9734,0.9754
ASX SFE Derivatives Trading,0.9970,0.9820,0.9670,0.9138,0.9385,0.9341,0.9104,0.9338,1.0289,0.9426,0.9734,0.9754
Australian Securities Exchange,0.9970,0.9820,0.9670,0.9138,0.9385,0.9341,0.9104,0.9338,1.0289,0.9426,0.9734,0.9754
